player_name,player_position,player_team,year,week,receptions,targets,receiving_yards,receiving_yards_per_reception,receiving_touchdowns,rushing_attempts,rushing_yards,rushing_yards_per_attempt,rushing_touchdowns,standard_points,half_ppr_points,ppr_points
Cedric Benson,RB,FA,2010,1,1,2,11,11.0,0,15,43,2.9,1,0.0,9.9,0.0
Javon Ringer,RB,FA,2010,1,0,0,0,0.0,0,5,33,6.6,1,0.0,9.3,0.0
Kevin Faulk,RB,FA,2010,1,4,6,47,11.8,0,3,23,7.7,0,0.0,9.0,0.0
Chester Taylor,RB,FA,2010,1,3,4,44,14.7,0,9,29,3.2,0,0.0,8.8,0.0
LaDainian Tomlinson,RB,FA,2010,1,2,4,16,8.0,0,11,62,5.6,0,0.0,8.8,0.0
Fred Taylor,RB,FA,2010,1,2,2,6,3.0,0,14,71,5.1,0,0.0,8.7,0.0
Brandon Jackson,RB,FA,2010,1,2,2,12,6.0,0,18,63,3.5,0,0.0,8.5,0.0
LaRod Stephens-Howling,RB,FA,2010,1,3,4,16,5.3,0,7,49,7.0,0,0.0,8.0,0.0
Brandon Jacobs,RB,FA,2010,1,2,2,21,10.5,0,12,44,3.7,0,0.0,7.5,0.0
Justin Forsett,RB,FA,2010,1,3,3,17,5.7,0,7,43,6.1,0,0.0,7.5,0.0
John Kuhn,RB,FA,2010,1,0,0,0,0.0,0,2,15,7.5,1,0.0,7.5,0.0
Felix Jones,RB,FA,2010,1,2,2,26,13.0,0,8,38,4.8,0,0.0,7.4,0.0
Reggie Bush,RB,FA,2010,1,5,6,33,6.6,0,2,14,7.0,0,0.0,7.2,0.0
Ray Rice,RB,FA,2010,1,2,4,19,9.5,0,21,43,2.0,0,0.0,7.2,0.0
Clinton Portis,RB,FA,2010,1,1,3,1,1.0,0,18,63,3.5,0,0.0,6.9,0.0
Bernard Scott,RB,FA,2010,1,3,4,15,5.0,0,6,35,5.8,0,0.0,6.5,0.0
Ryan Mathews,RB,FA,2010,1,1,2,2,2.0,0,20,78,3.9,0,0.0,6.5,0.0
Jerome Harrison,RB,FA,2010,1,1,1,7,7.0,0,9,52,5.8,0,0.0,6.4,0.0
DeAngelo Williams,RB,FA,2010,1,0,0,0,0.0,0,16,62,3.9,0,0.0,6.2,0.0
Ricky Williams,RB,FA,2010,1,0,1,0,0.0,0,18,62,3.4,0,0.0,6.2,0.0
Michael Turner,RB,FA,2010,1,1,1,7,7.0,0,19,42,2.2,0,0.0,5.4,0.0
Marion Barber,RB,FA,2010,1,2,3,1,0.5,0,8,39,4.9,0,0.0,5.0,0.0
Mike Goodson,RB,FA,2010,1,3,5,31,10.3,0,0,0,0.0,0,0.0,4.6,0.0
Ryan Grant,RB,FA,2010,1,0,0,0,0.0,0,8,45,5.6,0,0.0,4.5,0.0
Thomas Jones,RB,FA,2010,1,0,1,0,0.0,0,11,39,3.5,0,0.0,3.9,0.0
Willis McGahee,RB,FA,2010,1,1,1,-6,-6.0,0,6,-2,-0.3,1,0.0,3.7,0.0
Rashad Jennings,RB,FA,2010,1,1,2,4,4.0,0,4,26,6.5,0,0.0,3.5,0.0
C.J. Spiller,RB,FA,2010,1,4,5,8,2.0,0,7,6,0.9,0,0.0,3.4,0.0
Fred Jackson,RB,FA,2010,1,2,4,0,0.0,0,4,19,4.8,0,0.0,2.9,0.0
Steve Slaton,RB,FA,2010,1,0,0,0,0.0,0,6,29,4.8,0,0.0,2.9,0.0
Lousaka Polite,RB,FA,2010,1,2,3,12,6.0,0,2,6,3.0,0,0.0,2.8,0.0
Mike Tolbert,RB,FA,2010,1,0,0,0,0.0,0,2,26,13.0,0,0.0,2.6,0.0
Maurice Morris,RB,FA,2010,1,2,2,18,9.0,0,2,-3,-1.5,0,0.0,2.5,0.0
Michael Bennett,RB,FA,2010,1,2,2,9,4.5,0,1,6,6.0,0,0.0,2.5,0.0
Albert Young,RB,FA,2010,1,2,2,11,5.5,0,3,2,0.7,0,0.0,2.3,0.0
Jerious Norwood,RB,FA,2010,1,1,3,9,9.0,0,2,8,4.0,0,0.0,2.2,0.0
BenJarvus Green-Ellis,RB,FA,2010,1,0,0,0,0.0,0,5,22,4.4,0,0.0,2.2,0.0
Michael Robinson,RB,FA,2010,1,2,2,12,6.0,0,0,0,0.0,0,0.0,2.2,0.0
