player_name,player_position,player_team,week,receptions,targets,receiving_yards,receiving_yards_per_reception,receiving_touchdowns,rushing_attempts,rushing_yards,rushing_yards_per_attempt,rushing_touchdowns,standard_points,half_ppr_points,ppr_points
Isiah Pacheco,RB,KC,11,1,1,2,2.0,0,19,89,4.7,0,0.0,9.6,0.0
AJ Dillon,RB,GB,11,4,4,32,8.0,0,14,29,2.1,0,0.0,8.1,0.0
Chuba Hubbard,RB,CAR,11,2,2,8,4.0,0,10,57,5.7,0,0.0,7.5,0.0
Travis Etienne Jr.,RB,JAC,11,3,3,7,2.3,0,14,52,3.7,0,0.0,7.4,0.0
D'Onta Foreman,RB,CHI,11,0,0,0,0.0,0,6,14,2.3,1,0.0,7.4,0.0
Royce Freeman,RB,LAR,11,0,0,0,0.0,0,17,73,4.3,0,0.0,7.3,0.0
James Conner,RB,ARI,11,2,3,1,0.5,0,14,62,4.4,0,0.0,7.3,0.0
Alexander Mattison,RB,MIN,11,1,2,-1,-1.0,0,18,81,4.5,0,0.0,6.5,0.0
Javonte Williams,RB,DEN,11,2,2,16,8.0,0,11,37,3.4,0,0.0,6.3,0.0
Austin Ekeler,RB,LAC,11,2,3,6,3.0,0,10,64,6.4,0,0.0,6.0,0.0
D'Ernest Johnson,RB,JAC,11,1,1,34,34.0,0,7,20,2.9,0,0.0,5.9,0.0
Miles Sanders,RB,CAR,11,1,1,2,2.0,0,11,50,4.5,0,0.0,5.7,0.0
Josh Jacobs,RB,LV,11,1,1,12,12.0,0,14,39,2.8,0,0.0,5.6,0.0
Kareem Hunt,RB,CLE,11,3,3,1,0.3,0,12,36,3.0,0,0.0,5.2,0.0
Khalil Herbert,RB,CHI,11,2,3,6,3.0,0,16,35,2.2,0,0.0,5.1,0.0
Derrick Henry,RB,TEN,11,1,2,6,6.0,0,10,38,3.8,0,0.0,4.9,0.0
Keaton Mitchell,RB,BAL,11,1,1,8,8.0,0,8,33,4.1,0,0.0,4.6,0.0
Najee Harris,RB,PIT,11,1,2,1,1.0,0,12,35,2.9,0,0.0,4.1,0.0
Jaleel McLaughlin,RB,DEN,11,5,5,14,2.8,0,1,1,1.0,0,0.0,4.0,0.0
Tyjae Spears,RB,TEN,11,2,2,12,6.0,0,4,14,3.5,0,0.0,3.6,0.0
Latavius Murray,RB,BUF,11,0,0,0,0.0,0,10,35,3.5,0,0.0,3.5,0.0
Chris Rodriguez Jr.,RB,WAS,11,1,1,5,5.0,0,6,43,7.2,0,0.0,3.3,0.0
Alec Ingold,RB,MIA,11,3,4,16,5.3,0,0,0,0.0,0,0.0,3.1,0.0
Roschon Johnson,RB,CHI,11,0,0,0,0.0,0,6,30,5.0,0,0.0,3.0,0.0
Rico Dowdle,RB,DAL,11,2,2,-3,-1.5,0,8,23,2.9,0,0.0,3.0,0.0
Tony Jones Jr.,RB,NO,11,1,1,11,11.0,0,1,10,10.0,0,0.0,2.6,0.0
Emanuel Wilson,RB,GB,11,1,2,9,9.0,0,3,12,4.0,0,0.0,2.6,0.0
Jerick McKinnon,RB,KC,11,2,3,8,4.0,0,1,7,7.0,0,0.0,2.5,0.0
Chase Edmonds,RB,TB,11,1,1,11,11.0,0,4,8,2.0,0,0.0,2.4,0.0
